SampleName	SampleID	AssemblyGroup	FastqFile
Day1_afternoon1	HM86	Day1_afternoon	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM86_S139_L003
Day1_afternoon2	HM87	Day1_afternoon	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM87_S170_L004
Day1_afternoon3	HM88	Day1_afternoon	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM88_S140_L003
Day1_evening1	HM89	Day1_evening	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM89_S171_L004
Day1_evening2	HM92	Day1_evening	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM92_S141_L003
Day1_evening3	HM94	Day1_evening	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM94_S172_L004
Day1_night1	HM95	Day1_night	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM95_S142_L003
Day1_night2	HM96	Day1_night	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM96_S173_L004
Day1_night3	HM97	Day1_night	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM97_S143_L003
Day1_morning1	HM102	Day1_morning	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM102_S174_L004
Day1_morning2	HM103	Day1_morning	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM103_S144_L003
Day1_morning3	HM104	Day1_morning	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM104_S175_L004
Day2_night1	HM107	Day2_night	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM107_S145_L003
Day2_night2	HM111	Day2_night	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM111_S176_L004
Day2_night3	HM112	Day2_night	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM112_S146_L003
Day2_morning1	HM115	Day2_morning	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM115_S177_L004
Day2_morning2	HM116	Day2_morning	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM116_S147_L003
Day2_morning3	HM117	Day2_morning	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM117_S178_L004
Day2_afternoon1	HM119	Day2_afternoon	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM119_S148_L003
Day2_afternoon2	HM120	Day2_afternoon	/vortexfs1/omics/alexander/data/2022-canadian-arctic/undetermined/HM120_S179_L004
Day2_afternoon3	HM121	Day2_afternoon	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM121_S149_L003
Day2_evening1	HM125	Day2_evening	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM125_S180_L004
Day2_evening2	HM126	Day2_evening	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM126_S150_L003
Day2_evening3	HM127	Day2_evening	/vortexfs1/omics/alexander/data/2022-antarctic-diel/HM127_S151_L003